ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
Q13315	ATM serine/threonine kinase(ATM)	Homo sapiens		h_atmPathway:ATM Signaling Pathway,h_atrbrcaPathway:Role of BRCA1,  BRCA2 and ATR in Cancer Susceptibility,H_cdc25Pathway:cdc25 and chk1 Regulatory Pathway in response to DNA damage,h_chemicalPathway:Apoptotic Signaling in Response to DNA Damage,h_g1Pathway:Cell Cycle: G1/S Check Point ,h_g2Pathway:Cell Cycle: G2/M Checkpoint,h_p53hypoxiaPathway:Hypoxia and p53 in the Cardiovascular system,h_p53Pathway:p53 Signaling Pathway,h_plk3Pathway:Regulation of cell cycle progression by Plk3,h_rbPathway:RB Tumor Suppressor/Checkpoint Signaling in response to DNA damage,		GO:0000077~DNA damage checkpoint,GO:0000723~telomere maintenance,GO:0000724~double-strand break repair via homologous recombination,GO:0000729~DNA double-strand break processing,GO:0000731~DNA synthesis involved in DNA repair,GO:0000732~strand displacement,GO:0001666~response to hypoxia,GO:0001756~somitogenesis,GO:0002331~pre-B cell allelic exclusion,GO:0006260~DNA replication,GO:0006281~DNA repair,GO:0006303~double-strand break repair via nonhomologous end joining,GO:0006468~protein phosphorylation,GO:0006974~cellular response to DNA damage stimulus,GO:0006975~DNA damage induced protein phosphorylation,GO:0006977~DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest,GO:0007004~telomere maintenance via telomerase,GO:0007050~cell cycle arrest,GO:0007094~mitotic spindle assembly checkpoint,GO:0007131~reciprocal meiotic recombination,GO:0007165~signal transduction,GO:0007420~brain development,GO:0007507~heart development,GO:0008340~determination of adult lifespan,GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage,GO:0010212~response to ionizing radiation,GO:0010506~regulation of autophagy,GO:0016572~histone phosphorylation,GO:0018105~peptidyl-serine phosphorylation,GO:0030889~negative regulation of B cell proliferation,GO:0032212~positive regulation of telomere maintenance via telomerase,GO:0033129~positive regulation of histone phosphorylation,GO:0033151~V(D)J recombination,GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process,GO:0036289~peptidyl-serine autophosphorylation,GO:0042159~lipoprotein catabolic process,GO:0042981~regulation of apoptotic process,GO:0043065~positive regulation of apoptotic process,GO:0043517~positive regulation of DNA damage response, signal transduction by p53 class mediator,GO:0043525~positive regulation of neuron apoptotic process,GO:0045141~meiotic telomere clustering,GO:0046777~protein autophosphorylation,GO:0048599~oocyte development,GO:0051402~neuron apoptotic process,GO:0051726~regulation of cell cycle,GO:0051972~regulation of telomerase activity,GO:0071044~histone mRNA catabolic process,GO:0071480~cellular response to gamma radiation,GO:0071481~cellular response to X-ray,GO:0071500~cellular response to nitrosative stress,GO:0072434~signal transduction involved in mitotic G2 DNA damage checkpoint,GO:0090399~replicative senescence,GO:0097694~establishment of RNA localization to telomere,GO:0097695~establishment of macromolecular complex localization to telomere,GO:1900034~regulation of cellular response to heat,GO:1901796~regulation of signal transduction by p53 class mediator,GO:1904262~negative regulation of TORC1 signaling,GO:1904354~negative regulation of telomere capping,GO:1904358~positive regulation of telomere maintenance via telomere lengthening,GO:1904884~positive regulation of telomerase catalytic core complex assembly,	GO:0000781~chromosome, telomeric region,GO:0000784~nuclear chromosome, telomeric region,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005819~spindle,GO:0016023~cytoplasmic, membrane-bounded vesicle,GO:1990391~DNA repair complex,	GO:0003677~DNA binding,GO:0004674~protein serine/threonine kinase activity,GO:0004677~DNA-dependent protein kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016303~1-phosphatidylinositol-3-kinase activity,GO:0016740~transferase activity,GO:0032403~protein complex binding,GO:0046983~protein dimerization activity,GO:0047485~protein N-terminus binding,	IPR000403:Phosphatidylinositol 3-/4-kinase, catalytic domain,IPR003151:PIK-related kinase, FAT,IPR003152:PIK-related kinase, FATC,IPR011009:Protein kinase-like domain,IPR014009:PIK-related kinase,IPR015519:ATM/Tel1,IPR016024:Armadillo-type fold,IPR018936:Phosphatidylinositol 3/4-kinase, conserved site,IPR021668:Telomere-length maintenance and DNA damage repair,	hsa04064:NF-kappa B signaling pathway,hsa04068:FoxO signaling pathway,hsa04110:Cell cycle,hsa04115:p53 signaling pathway,hsa04210:Apoptosis,hsa05166:HTLV-I infection,hsa05202:Transcriptional misregulation in cancer,hsa05206:MicroRNAs in cancer,	114480~Breast cancer, susceptibility to,208900~Ataxia-telangiectasia,Lymphoma, B-cell non-Hodgkin, somatic~Lymphoma, B-cell non-Hodgkin, somatic,Lymphoma, mantle cell~Lymphoma, mantle cell,T-cell prolymphocytic leukemia, somatic~T-cell prolymphocytic leukemia, somatic,		SM00146:PI3Kc,SM01342:SM01342,SM01343:SM01343,	Acetylation,ATP-binding,Cell cycle,Complete proteome,Cytoplasmic vesicle,Disease mutation,DNA damage,DNA-binding,Kinase,Neurodegeneration,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Serine/threonine-protein kinase,Transferase,Tumor suppressor,	chain:Serine-protein kinase ATM,domain:FAT,domain:FATC,domain:PI3K/PI4K,modified residue,mutagenesis site,region of interest:Interaction with ABL1,sequence conflict,sequence variant,splice variant,
Q9UBJ2	ATP binding cassette subfamily D member 2(ABCD2)	Homo sapiens		h_nuclearRsPathway:Nuclear Receptors in Lipid Metabolism and Toxicity,		GO:0000038~very long-chain fatty acid metabolic process,GO:0006635~fatty acid beta-oxidation,GO:0015909~long-chain fatty acid transport,GO:0032000~positive regulation of fatty acid beta-oxidation,GO:0042760~very long-chain fatty acid catabolic process,GO:0055085~transmembrane transport,	GO:0005777~peroxisome,GO:0005778~peroxisomal membrane,GO:0005829~cytosol,GO:0016021~integral component of membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0005324~long-chain fatty acid transporter activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0042803~protein homodimerization activity,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR011527:ABC transporter, transmembrane domain, type 1,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa02010:ABC transporters,hsa04146:Peroxisome,			SM00382:AAA,	ATP-binding,Complete proteome,Glycoprotein,Membrane,Nucleotide-binding,Peroxisome,Polymorphism,Reference proteome,Transmembrane,Transmembrane helix,Transport,	chain:ATP-binding cassette sub-family D member 2,domain:ABC transmembrane type-1,domain:ABC transporter,glycosylation site:N-linked (GlcNAc...),nucleotide phosphate-binding region:ATP,region of interest:Interaction with PEX19,sequence conflict,sequence variant,transmembrane region,
Q35920	ATP synthase F0 subunit 6(ATP6)	Salmo salar				GO:0015986~ATP synthesis coupled proton transport,	GO:0005743~mitochondrial inner membrane,GO:0016021~integral component of membrane,GO:0045263~proton-transporting ATP synthase complex, coupling factor F(o),	GO:0015078~hydrogen ion transmembrane transporter activity,	IPR000568:ATPase, F0 complex, subunit A,IPR023011:ATPase, F0 complex, subunit A, active site,					ATP synthesis,CF(0),Hydrogen ion transport,Ion transport,Membrane,Mitochondrion,Mitochondrion inner membrane,Transmembrane,Transmembrane helix,Transport,	chain:ATP synthase subunit a,sequence conflict,transmembrane region,
P56384	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)(Atp5g3)	Mus musculus				GO:0006810~transport,GO:0006811~ion transport,GO:0007568~aging,GO:0015986~ATP synthesis coupled proton transport,GO:0015991~ATP hydrolysis coupled proton transport,GO:0015992~proton transport,GO:0045471~response to ethanol,GO:1902600~hydrogen ion transmembrane transport,	GO:0000276~mitochondrial proton-transporting ATP synthase complex, coupling factor F(o),GO:0005739~mitochondrion,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0031966~mitochondrial membrane,GO:0033177~proton-transporting two-sector ATPase complex, proton-transporting domain,GO:0045263~proton-transporting ATP synthase complex, coupling factor F(o),	GO:0008289~lipid binding,GO:0015078~hydrogen ion transmembrane transporter activity,GO:0046933~proton-transporting ATP synthase activity, rotational mechanism,	IPR000454:ATPase, F0 complex, subunit C,IPR002379:V-ATPase proteolipid subunit C-like domain,IPR020537:ATPase, F0 complex, subunit C, DCCD-binding site,	mmu00190:Oxidative phosphorylation,mmu01100:Metabolic pathways,mmu05010:Alzheimer's disease,mmu05012:Parkinson's disease,mmu05016:Huntington's disease,				CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Mitochondrion,Reference proteome,Transit peptide,Transmembrane,Transmembrane helix,Transport,	chain:ATP synthase lipid-binding protein, mitochondrial,site:Reversibly protonated during proton transport,transit peptide:Mitochondrion,transmembrane region,
Q06647	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit(Atp5o)	Rattus norvegicus				GO:0015986~ATP synthesis coupled proton transport,GO:0042776~mitochondrial ATP synthesis coupled proton transport,GO:0046034~ATP metabolic process,	GO:0000276~mitochondrial proton-transporting ATP synthase complex, coupling factor F(o),GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0005753~mitochondrial proton-transporting ATP synthase complex,GO:0005886~plasma membrane,GO:0043209~myelin sheath,GO:0070062~extracellular exosome,	GO:0005496~steroid binding,GO:0008144~drug binding,GO:0016887~ATPase activity,GO:0032403~protein complex binding,GO:0046933~proton-transporting ATP synthase activity, rotational mechanism,	IPR000711:ATPase, F1 complex, OSCP/delta subunit,IPR020781:ATPase, F1 complex, OSCP/delta subunit, conserved site,IPR026015:F1F0 ATP synthase OSCP/delta subunit, N-terminal domain,	rno00190:Oxidative phosphorylation,rno01100:Metabolic pathways,rno05010:Alzheimer's disease,rno05012:Parkinson's disease,rno05016:Huntington's disease,				Acetylation,ATP synthesis,Complete proteome,Direct protein sequencing,Hydrogen ion transport,Ion transport,Membrane,Mitochondrion,Mitochondrion inner membrane,Reference proteome,Transit peptide,Transport,	chain:ATP synthase subunit O, mitochondrial,modified residue,transit peptide:Mitochondrion,
Q03265	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1(Atp5a1)	Mus musculus				GO:0001937~negative regulation of endothelial cell proliferation,GO:0006629~lipid metabolic process,GO:0006754~ATP biosynthetic process,GO:0006810~transport,GO:0006811~ion transport,GO:0009790~embryo development,GO:0015986~ATP synthesis coupled proton transport,GO:0015991~ATP hydrolysis coupled proton transport,GO:0015992~proton transport,GO:0046034~ATP metabolic process,	GO:0000275~mitochondrial proton-transporting ATP synthase complex, catalytic core F(1),GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005753~mitochondrial proton-transporting ATP synthase complex,GO:0005886~plasma membrane,GO:0008180~COP9 signalosome,GO:0016020~membrane,GO:0031012~extracellular matrix,GO:0033178~proton-transporting two-sector ATPase complex, catalytic domain,GO:0043209~myelin sheath,GO:0045261~proton-transporting ATP synthase complex, catalytic core F(1),GO:0070062~extracellular exosome,	GO:0000166~nucleotide binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances,GO:0016887~ATPase activity,GO:0032559~adenyl ribonucleotide binding,GO:0042288~MHC class I protein binding,GO:0043531~ADP binding,GO:0044822~poly(A) RNA binding,GO:0046933~proton-transporting ATP synthase activity, rotational mechanism,GO:0046961~proton-transporting ATPase activity, rotational mechanism,	IPR000194:ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain,IPR000793:ATPase, F1/V1/A1 complex, alpha/beta subunit, C-terminal,IPR004100:ATPase, alpha/beta subunit, N-terminal,IPR005294:ATPase, F1 complex, alpha subunit,IPR020003:ATPase, alpha/beta subunit, nucleotide-binding domain, active site,IPR023366:ATPase, F1/A1 complex, alpha subunit, N-terminal,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	mmu00190:Oxidative phosphorylation,mmu01100:Metabolic pathways,mmu05010:Alzheimer's disease,mmu05012:Parkinson's disease,mmu05016:Huntington's disease,				Acetylation,ATP synthesis,ATP-binding,Cell membrane,CF(1),Complete proteome,Direct protein sequencing,Glycoprotein,Hydrogen ion transport,Ion transport,Membrane,Mitochondrion,Mitochondrion inner membrane,Nucleotide-binding,Phosphoprotein,Proteomics identification,Pyrrolidone carboxylic acid,Reference proteome,Transit peptide,Transport,	chain:ATP synthase subunit alpha, mitochondrial,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,site:Required for activity,transit peptide:Mitochondrion,
P15999	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle(Atp5a1)	Rattus norvegicus				GO:0001937~negative regulation of endothelial cell proliferation,GO:0006629~lipid metabolic process,GO:0015986~ATP synthesis coupled proton transport,GO:0015991~ATP hydrolysis coupled proton transport,GO:0046034~ATP metabolic process,	GO:0000275~mitochondrial proton-transporting ATP synthase complex, catalytic core F(1),GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005753~mitochondrial proton-transporting ATP synthase complex,GO:0005886~plasma membrane,GO:0008180~COP9 signalosome,GO:0016020~membrane,GO:0043209~myelin sheath,GO:0045261~proton-transporting ATP synthase complex, catalytic core F(1),GO:0070062~extracellular exosome,	GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0042288~MHC class I protein binding,GO:0043531~ADP binding,GO:0044822~poly(A) RNA binding,GO:0046933~proton-transporting ATP synthase activity, rotational mechanism,GO:0046961~proton-transporting ATPase activity, rotational mechanism,	IPR000194:ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain,IPR000793:ATPase, F1/V1/A1 complex, alpha/beta subunit, C-terminal,IPR004100:ATPase, alpha/beta subunit, N-terminal,IPR005294:ATPase, F1 complex, alpha subunit,IPR020003:ATPase, alpha/beta subunit, nucleotide-binding domain, active site,IPR023366:ATPase, F1/A1 complex, alpha subunit, N-terminal,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	rno00190:Oxidative phosphorylation,rno01100:Metabolic pathways,rno05010:Alzheimer's disease,rno05012:Parkinson's disease,rno05016:Huntington's disease,				3D-structure,Acetylation,ATP synthesis,ATP-binding,Cell membrane,CF(1),Complete proteome,Direct protein sequencing,Glycoprotein,Hydrogen ion transport,Ion transport,Membrane,Mitochondrion,Mitochondrion inner membrane,Nucleotide-binding,Phosphoprotein,Proteomics identification,Pyrrolidone carboxylic acid,Reference proteome,Transit peptide,Transport,	chain:ATP synthase subunit alpha, mitochondrial,helix,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,site:Required for activity,strand,transit peptide:Mitochondrion,turn,
P56382	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit(Atp5e)	Mus musculus				GO:0006754~ATP biosynthetic process,GO:0006810~transport,GO:0006811~ion transport,GO:0015986~ATP synthesis coupled proton transport,GO:0015992~proton transport,	GO:0000275~mitochondrial proton-transporting ATP synthase complex, catalytic core F(1),GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005753~mitochondrial proton-transporting ATP synthase complex,GO:0016020~membrane,GO:0045261~proton-transporting ATP synthase complex, catalytic core F(1),	GO:0008553~hydrogen-exporting ATPase activity, phosphorylative mechanism,GO:0016787~hydrolase activity,GO:0016887~ATPase activity,GO:0046933~proton-transporting ATP synthase activity, rotational mechanism,GO:0046961~proton-transporting ATPase activity, rotational mechanism,	IPR006721:ATPase, F1 complex, epsilon  subunit, mitochondrial,	mmu00190:Oxidative phosphorylation,mmu01100:Metabolic pathways,mmu05010:Alzheimer's disease,mmu05012:Parkinson's disease,mmu05016:Huntington's disease,				Acetylation,ATP synthesis,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Mitochondrion,Mitochondrion inner membrane,Proteomics identification,Reference proteome,Transport,	chain:ATP synthase subunit epsilon, mitochondrial,modified residue,
Q5RFH9	ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1(ATP5F1)	Pongo abelii				GO:0015986~ATP synthesis coupled proton transport,GO:0021762~substantia nigra development,	GO:0000276~mitochondrial proton-transporting ATP synthase complex, coupling factor F(o),GO:0005654~nucleoplasm,GO:0005753~mitochondrial proton-transporting ATP synthase complex,GO:0043209~myelin sheath,GO:0070062~extracellular exosome,	GO:0015078~hydrogen ion transmembrane transporter activity,GO:0016887~ATPase activity,	IPR008688:ATPase, F0 complex, B chain/subunit B/MI25,IPR013837:ATPase, F0 complex, B chain/subunit B,	pon00190:Oxidative phosphorylation,pon01100:Metabolic pathways,pon05010:Alzheimer's disease,pon05012:Parkinson's disease,pon05016:Huntington's disease,				Acetylation,CF(0),Coiled coil,Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Mitochondrion,Mitochondrion inner membrane,Reference proteome,Transit peptide,Transport,	chain:ATP synthase subunit b, mitochondrial,modified residue,transit peptide:Mitochondrion,
P21571	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6(Atp5j)	Rattus norvegicus				GO:0015986~ATP synthesis coupled proton transport,GO:0021762~substantia nigra development,GO:0046034~ATP metabolic process,	GO:0000276~mitochondrial proton-transporting ATP synthase complex, coupling factor F(o),GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005753~mitochondrial proton-transporting ATP synthase complex,	GO:0015078~hydrogen ion transmembrane transporter activity,GO:0016887~ATPase activity,	IPR008387:ATPase, F0 complex, subunit F6, mitochondrial,IPR016349:ATPase, F0 complex, subunit F6, mitochondrial subgroup,	rno00190:Oxidative phosphorylation,rno01100:Metabolic pathways,rno05010:Alzheimer's disease,rno05012:Parkinson's disease,rno05016:Huntington's disease,		PIRSF002455:ATP synthase coupling factor 6,		Acetylation,CF(0),Complete proteome,Direct protein sequencing,Hydrogen ion transport,Ion transport,Membrane,Mitochondrion,Mitochondrion inner membrane,Phosphoprotein,Reference proteome,Transit peptide,Transport,	chain:ATP synthase-coupling factor 6, mitochondrial,modified residue,transit peptide:Mitochondrion,
P21447	ATP-binding cassette, sub-family B (MDR/TAP), member 1A(Abcb1a)	Mus musculus		m_mrpPathway:Multi-Drug Resistance Factors,m_nuclearRsPathway:Nuclear Receptors in Lipid Metabolism and Toxicity,	Amino acid transport and metabolism,Defense mechanisms,	GO:0000086~G2/M transition of mitotic cell cycle,GO:0002481~antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent,GO:0002485~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent,GO:0002489~antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent,GO:0002591~positive regulation of antigen processing and presentation of peptide antigen via MHC class I,GO:0006810~transport,GO:0006855~drug transmembrane transport,GO:0009914~hormone transport,GO:0015893~drug transport,GO:0033231~carbohydrate export,GO:0035633~maintenance of blood-brain barrier,GO:0043215~daunorubicin transport,GO:0045332~phospholipid translocation,GO:0046618~drug export,GO:0050892~intestinal absorption,GO:0055085~transmembrane transport,GO:0060548~negative regulation of cell death,GO:0060856~establishment of blood-brain barrier,GO:0072089~stem cell proliferation,GO:1990962~drug transport across blood-brain barrier,GO:1990963~establishment of blood-retinal barrier,GO:2001025~positive regulation of response to drug,	GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0031526~brush border membrane,GO:0045177~apical part of cell,GO:0046581~intercellular canaliculus,GO:0070062~extracellular exosome,	GO:0000166~nucleotide binding,GO:0005524~ATP binding,GO:0008559~xenobiotic-transporting ATPase activity,GO:0016787~hydrolase activity,GO:0016887~ATPase activity,GO:0042623~ATPase activity, coupled,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0090554~phosphatidylcholine-translocating ATPase activity,GO:0090555~phosphatidylethanolamine-translocating ATPase activity,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR011527:ABC transporter, transmembrane domain, type 1,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	mmu02010:ABC transporters,mmu04976:Bile secretion,mmu05206:MicroRNAs in cancer,			SM00382:AAA,	3D-structure,ATP-binding,Cell membrane,Complete proteome,Direct protein sequencing,Glycoprotein,Hydrolase,Membrane,Nucleotide-binding,Reference proteome,Repeat,Transmembrane,Transmembrane helix,Transport,	chain:Multidrug resistance protein 3,domain:ABC transmembrane type-1 1,domain:ABC transmembrane type-1 2,domain:ABC transporter 1,domain:ABC transporter 2,glycosylation site:N-linked (GlcNAc...),helix,modified residue,nucleotide phosphate-binding region:ATP 1,nucleotide phosphate-binding region:ATP 2,sequence conflict,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,turn,
